School,City,County/State/Country,App_All,App_Female,App_Male,App_Other,App_Unknown,Adm_All,Adm_Female,Adm_Male,Adm_Other,Adm_Unknown,Enr_All,Enr_Female,Enr_Male,Enr_Other,Enr_Unknown,Acceptance_All,Yield_All,Acceptance_Other,Yield_Other,Acceptance_Unknown,Yield_Unknown,Acceptance_Male,Yield_Male,Acceptance_Female,Yield_Female
WHITTIER HIGH SCHOOL,Whittier,Los Angeles,79.0,45.0,33.0,0.0,0.0,5.0,0.0,3.0,0,0,3.0,0.0,0.0,0,0,0.06329113924050633,0.6,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,73.0,47.0,24.0,0.0,0.0,10.0,9.0,0.0,0,0,8.0,7.0,0.0,0,0,0.136986301369863,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.7777777777777778
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,21.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,61.0,32.0,28.0,0.0,0.0,7.0,5.0,0.0,0,0,5.0,3.0,0.0,0,0,0.11475409836065574,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.6
JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,74.0,43.0,29.0,0.0,0.0,5.0,4.0,0.0,0,0,5.0,4.0,0.0,0,0,0.06756756756756757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,1.0
WISH ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,19.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATHANIEL NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,67.0,40.0,26.0,0.0,0.0,9.0,6.0,3.0,0,0,9.0,6.0,3.0,0,0,0.13432835820895522,1.0,0.0,0.0,0.0,0.0,0.11538461538461539,1.0,0.15,1.0
UNIVERSITY PREP VALUE HS,Los Angeles,Los Angeles,44.0,25.0,18.0,0.0,0.0,4.0,0.0,3.0,0,0,0.0,0.0,0.0,0,0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
RENAISSANCE ARTS ACADEMY,Los Angeles,Los Angeles,27.0,14.0,10.0,0.0,0.0,5.0,4.0,0.0,0,0,4.0,4.0,0.0,0,0,0.18518518518518517,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0
VENICE HIGH SCHOOL,Los Angeles,Los Angeles,167.0,76.0,86.0,0.0,0.0,23.0,14.0,9.0,0,0,16.0,10.0,6.0,0,0,0.1377245508982036,0.6956521739130435,0.0,0.0,0.0,0.0,0.10465116279069768,0.6666666666666666,0.18421052631578946,0.7142857142857143
ULYSSES S GRANT HIGH SCHOOL,Van Nuys,Los Angeles,99.0,53.0,39.0,0.0,0.0,10.0,3.0,6.0,0,0,7.0,3.0,4.0,0,0,0.10101010101010101,0.7,0.0,0.0,0.0,0.0,0.15384615384615385,0.6666666666666666,0.05660377358490566,1.0
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,70.0,37.0,28.0,0.0,0.0,6.0,5.0,0.0,0,0,5.0,4.0,0.0,0,0,0.08571428571428572,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.8
CHAVEZ LA ACADEMY OF SCIENCE,San Fernando,Los Angeles,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles,21.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,177.0,85.0,88.0,0.0,0.0,20.0,10.0,9.0,0,0,12.0,6.0,6.0,0,0,0.11299435028248588,0.6,0.0,0.0,0.0,0.0,0.10227272727272728,0.6666666666666666,0.11764705882352941,0.6
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,85.0,49.0,33.0,0.0,0.0,11.0,9.0,0.0,0,0,4.0,0.0,0.0,0,0,0.12941176470588237,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.0
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,24.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
