School,City,County/State/Country,App_All,App_Female,App_Male,App_Other,App_Unknown,Adm_All,Adm_Female,Adm_Male,Adm_Other,Adm_Unknown,Enr_All,Enr_Female,Enr_Male,Enr_Other,Enr_Unknown,Acceptance_All,Yield_All,Acceptance_Other,Yield_Other,Acceptance_Unknown,Yield_Unknown,Acceptance_Male,Yield_Male,Acceptance_Female,Yield_Female
TORRES HS ENGINEERING & TECHNICAL,Los Angeles,Los Angeles,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOYLE HEIGHTS STEM MAGNET HIGH SCH,Los Angeles,Los Angeles,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA SERNA HIGH SCHOOL,Whittier,Los Angeles,115.0,69.0,45.0,0.0,0.0,9.0,3.0,6.0,0,0,6.0,0.0,5.0,0,0,0.0782608695652174,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,0.8333333333333334,0.043478260869565216,0.0
LOS ANGELES ACAD ARTS ENTRPRSE,Los Angeles,Los Angeles,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,23.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,80.0,40.0,40.0,0.0,0.0,6.0,3.0,3.0,0,0,5.0,3.0,0.0,0,0,0.075,0.8333333333333334,0.0,0.0,0.0,0.0,0.075,0.0,0.075,1.0
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,20.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,35.0,21.0,13.0,0.0,0.0,4.0,4.0,0.0,0,0,4.0,4.0,0.0,0,0,0.11428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,1.0
BELL HIGH SCHOOL,Bell,Los Angeles,104.0,65.0,36.0,0.0,0.0,8.0,8.0,0.0,0,0,5.0,5.0,0.0,0,0,0.07692307692307693,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.625
WARREN HIGH SCHOOL,Downey,Los Angeles,157.0,92.0,62.0,0.0,0.0,12.0,7.0,5.0,0,0,7.0,5.0,0.0,0,0,0.07643312101910828,0.5833333333333334,0.0,0.0,0.0,0.0,0.08064516129032258,0.0,0.07608695652173914,0.7142857142857143
SOUTH LA COLLEGE PREP,Los Angeles,Los Angeles,29.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,126.0,74.0,50.0,0.0,0.0,13.0,7.0,6.0,0,0,8.0,5.0,3.0,0,0,0.10317460317460317,0.6153846153846154,0.0,0.0,0.0,0.0,0.12,0.5,0.0945945945945946,0.7142857142857143
WILLIAM WORKMAN HIGH SCHOOL,City Of Industry,Los Angeles,27.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAVEZ LA ARTES,San Fernando,Los Angeles,26.0,9.0,14.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,132.0,74.0,55.0,0.0,0.0,17.0,10.0,6.0,0,0,11.0,8.0,0.0,0,0,0.12878787878787878,0.6470588235294118,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.13513513513513514,0.8
INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles,46.0,27.0,16.0,0.0,0.0,5.0,3.0,0.0,0,0,5.0,3.0,0.0,0,0,0.10869565217391304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles,78.0,50.0,26.0,0.0,0.0,5.0,3.0,0.0,0,0,3.0,0.0,0.0,0,0,0.0641025641025641,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,28.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,109.0,58.0,48.0,0.0,0.0,11.0,7.0,4.0,0,0,10.0,7.0,3.0,0,0,0.10091743119266056,0.9090909090909091,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.1206896551724138,1.0
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,37.0,24.0,12.0,0.0,0.0,7.0,6.0,0.0,0,0,6.0,5.0,0.0,0,0,0.1891891891891892,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8333333333333334
NEW VILLAGE GIRLS ACADEMY,Los Angeles,Los Angeles,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILEAD ONLINE CHARTER SCHOOL,Acton,Los Angeles,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,63.0,38.0,22.0,0.0,0.0,4.0,0.0,3.0,0,0,0.0,0.0,0.0,0,0,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0
MAYWOOD ACADEMY HIGH SCHOOL,Maywood,Los Angeles,38.0,21.0,16.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles,82.0,52.0,30.0,0.0,0.0,6.0,5.0,0.0,0,0,4.0,3.0,0.0,0,0,0.07317073170731707,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.6
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,113.0,58.0,45.0,0.0,0.0,11.0,9.0,0.0,0,0,4.0,4.0,0.0,0,0,0.09734513274336283,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.15517241379310345,0.4444444444444444
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,74.0,42.0,31.0,0.0,0.0,7.0,6.0,0.0,0,0,5.0,4.0,0.0,0,0,0.0945945945945946,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.6666666666666666
MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,61.0,38.0,23.0,0.0,0.0,9.0,8.0,0.0,0,0,7.0,6.0,0.0,0,0,0.14754098360655737,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.75
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,38.0,24.0,13.0,0.0,0.0,5.0,5.0,0.0,0,0,4.0,4.0,0.0,0,0,0.13157894736842105,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.8
COMM&TECH SCHOOL RIVERA LRNG COMPLX,Los Angeles,Los Angeles,33.0,14.0,18.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTINGTON PARK INST APPLD MEDICINE,Huntington Park,Los Angeles,49.0,24.0,23.0,0.0,0.0,7.0,5.0,0.0,0,0,3.0,0.0,0.0,0,0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,44.0,26.0,18.0,0.0,0.0,5.0,0.0,3.0,0,0,0.0,0.0,0.0,0,0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,34.0,14.0,19.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST COVINA HIGH SCHOOL,West Covina,Los Angeles,89.0,42.0,43.0,0.0,0.0,8.0,4.0,4.0,0,0,7.0,3.0,4.0,0,0,0.0898876404494382,0.875,0.0,0.0,0.0,0.0,0.09302325581395349,1.0,0.09523809523809523,0.75
CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles,89.0,45.0,40.0,0.0,0.0,12.0,5.0,6.0,0,0,10.0,5.0,5.0,0,0,0.1348314606741573,0.8333333333333334,0.0,0.0,0.0,0.0,0.15,0.8333333333333334,0.1111111111111111,1.0
MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles,38.0,19.0,19.0,0.0,0.0,4.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0
SAUGUS HIGH SCHOOL,Santa Clarita,Los Angeles,85.0,43.0,38.0,0.0,0.0,7.0,4.0,0.0,0,0,5.0,0.0,0.0,0,0,0.08235294117647059,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0
JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,111.0,55.0,50.0,0.0,0.0,8.0,4.0,4.0,0,0,6.0,3.0,3.0,0,0,0.07207207207207207,0.75,0.0,0.0,0.0,0.0,0.08,0.75,0.07272727272727272,0.75
NEW DESIGNS CHARTER SCH WATTS,Los Angeles,Los Angeles,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,276.0,152.0,109.0,0.0,0.0,31.0,15.0,14.0,0,0,15.0,7.0,8.0,0,0,0.11231884057971014,0.4838709677419355,0.0,0.0,0.0,0.0,0.12844036697247707,0.5714285714285714,0.09868421052631579,0.4666666666666667
LANCASTER HIGH SCHOOL,Lancaster,Los Angeles,55.0,35.0,19.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,42.0,26.0,15.0,0.0,0.0,5.0,5.0,0.0,0,0,3.0,3.0,0.0,0,0,0.11904761904761904,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.6
ARLETA HIGH SCHOOL,Arleta,Los Angeles,24.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,74.0,44.0,29.0,0.0,0.0,3.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0
RISE KOHYANG HIGH SCHOOL,Los Angeles,Los Angeles,48.0,22.0,26.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles,63.0,39.0,22.0,0.0,0.0,7.0,5.0,0.0,0,0,4.0,3.0,0.0,0,0,0.1111111111111111,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.6
LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,77.0,38.0,38.0,0.0,0.0,6.0,0.0,4.0,0,0,6.0,0.0,4.0,0,0,0.07792207792207792,1.0,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,0.0
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,67.0,42.0,23.0,0.0,0.0,8.0,4.0,4.0,0,0,0.0,0.0,0.0,0,0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.09523809523809523,0.0
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,20.0,15.0,5.0,0.0,0.0,3.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
PUC LAKEVIEW CHARTER HIGH SCHL,Sylmar,Los Angeles,39.0,22.0,17.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPTIONS FOR YOUTH DUARTE - PASADENA,Pasadena,Los Angeles,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles,24.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles,74.0,45.0,27.0,0.0,0.0,8.0,4.0,4.0,0,0,7.0,4.0,3.0,0,0,0.10810810810810811,0.875,0.0,0.0,0.0,0.0,0.14814814814814814,0.75,0.08888888888888889,1.0
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,53.0,24.0,29.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEM ACADEMY OF HOLLYWOOD,Hollywood,Los Angeles,34.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,287.0,156.0,121.0,0.0,0.0,35.0,21.0,13.0,0,0,20.0,9.0,11.0,0,0,0.12195121951219512,0.5714285714285714,0.0,0.0,0.0,0.0,0.10743801652892562,0.8461538461538461,0.1346153846153846,0.42857142857142855
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,15.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAREY HIGH SCHOOL,Pomona,Los Angeles,57.0,35.0,22.0,0.0,0.0,5.0,4.0,0.0,0,0,0.0,0.0,0.0,0,0,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0
LIFELINE EDUCATION CHARTER SCH,Compton,Los Angeles,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,57.0,24.0,32.0,0.0,0.0,9.0,5.0,4.0,0,0,7.0,5.0,0.0,0,0,0.15789473684210525,0.7777777777777778,0.0,0.0,0.0,0.0,0.125,0.0,0.20833333333333334,1.0
SCHOOL OF ARTS AND ENTERPRISE,Pomona,Los Angeles,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,19.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,48.0,27.0,19.0,0.0,0.0,4.0,4.0,0.0,0,0,3.0,3.0,0.0,0,0,0.08333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.75
WALNUT HIGH SCHOOL,Walnut,Los Angeles,223.0,116.0,98.0,0.0,0.0,20.0,8.0,10.0,0,0,14.0,8.0,6.0,0,0,0.08968609865470852,0.7,0.0,0.0,0.0,0.0,0.10204081632653061,0.6,0.06896551724137931,1.0
TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,214.0,120.0,87.0,0.0,0.0,16.0,10.0,6.0,0,0,14.0,9.0,5.0,0,0,0.07476635514018691,0.875,0.0,0.0,0.0,0.0,0.06896551724137931,0.8333333333333334,0.08333333333333333,0.9
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERNATIONAL STUDIES LEARNING CTR,South Gate,Los Angeles,23.0,16.0,7.0,0.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS ANGELES SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,44.0,20.0,22.0,0.0,0.0,5.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
ENVIRONMENTAL CHARTER HS LAWNDALE,Lawndale,Los Angeles,32.0,14.0,16.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.09375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,5.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0,3.0,3.0,0.0,0,0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,58.0,34.0,24.0,0.0,0.0,12.0,10.0,0.0,0,0,4.0,4.0,0.0,0,0,0.20689655172413793,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.4
WESTCHESTER ENRICHED SCIENCE MAGNET,Los Angeles,Los Angeles,46.0,33.0,13.0,0.0,0.0,6.0,6.0,0.0,0,0,5.0,5.0,0.0,0,0,0.13043478260869565,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.8333333333333334
HARTS ACADEMY-LA,Harbor City,Los Angeles,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JORDAN HIGH SCHOOL,Long Beach,Los Angeles,72.0,49.0,22.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCLA COMMUNITY SCHOOL,Los Angeles,Los Angeles,52.0,26.0,25.0,0.0,0.0,7.0,3.0,4.0,0,0,5.0,0.0,4.0,0,0,0.1346153846153846,0.7142857142857143,0.0,0.0,0.0,0.0,0.16,1.0,0.11538461538461539,0.0
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,37.0,19.0,15.0,0.0,0.0,4.0,0.0,0.0,0,0,4.0,0.0,0.0,0,0,0.10810810810810811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,148.0,82.0,59.0,0.0,0.0,18.0,12.0,6.0,0,0,8.0,4.0,4.0,0,0,0.12162162162162163,0.4444444444444444,0.0,0.0,0.0,0.0,0.1016949152542373,0.6666666666666666,0.14634146341463414,0.3333333333333333
ANIMO COMPTON CHARTER SCHOOL,Los Angeles,Los Angeles,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,32.0,19.0,13.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.09375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHERMAN OAKS CTR ENRCHED STDS,Tarzana,Los Angeles,78.0,39.0,38.0,0.0,0.0,9.0,4.0,5.0,0,0,5.0,0.0,4.0,0,0,0.11538461538461539,0.5555555555555556,0.0,0.0,0.0,0.0,0.13157894736842105,0.8,0.10256410256410256,0.0
MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles,39.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORRES HS-HUMANITAS ACAD ART &TECH,Los Angeles,Los Angeles,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORRANCE HIGH SCHOOL,Torrance,Los Angeles,109.0,58.0,48.0,0.0,0.0,10.0,6.0,4.0,0,0,10.0,6.0,4.0,0,0,0.09174311926605505,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.10344827586206896,1.0
DOWNEY HIGH SCHOOL,Downey,Los Angeles,159.0,106.0,51.0,0.0,0.0,16.0,13.0,3.0,0,0,12.0,10.0,0.0,0,0,0.10062893081761007,0.75,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.12264150943396226,0.7692307692307693
SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,56.0,31.0,23.0,0.0,0.0,5.0,0.0,3.0,0,0,5.0,0.0,3.0,0,0,0.08928571428571429,1.0,0.0,0.0,0.0,0.0,0.13043478260869565,1.0,0.0,0.0
LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles,19.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,58.0,24.0,33.0,0.0,0.0,9.0,4.0,5.0,0,0,9.0,4.0,5.0,0,0,0.15517241379310345,1.0,0.0,0.0,0.0,0.0,0.15151515151515152,1.0,0.16666666666666666,1.0
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,25.0,17.0,7.0,0.0,0.0,3.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,53.0,31.0,22.0,0.0,0.0,5.0,4.0,0.0,0,0,0.0,0.0,0.0,0,0,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0
LOS ANGELES HS OF THE ARTS,Los Angeles,Los Angeles,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,135.0,68.0,64.0,0.0,0.0,12.0,7.0,5.0,0,0,10.0,5.0,5.0,0,0,0.08888888888888889,0.8333333333333334,0.0,0.0,0.0,0.0,0.078125,1.0,0.10294117647058823,0.7142857142857143
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,46.0,19.0,26.0,0.0,0.0,5.0,0.0,3.0,0,0,5.0,0.0,3.0,0,0,0.10869565217391304,1.0,0.0,0.0,0.0,0.0,0.11538461538461539,1.0,0.0,0.0
CARSON HIGH SCHOOL,Carson,Los Angeles,69.0,35.0,33.0,0.0,0.0,8.0,5.0,3.0,0,0,4.0,3.0,0.0,0,0,0.11594202898550725,0.5,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.14285714285714285,0.6
SCH SOCIAL JUSTICE-CONT LEARN CTR,Los Angeles,Los Angeles,12.0,7.0,5.0,0.0,0.0,4.0,4.0,0.0,0,0,3.0,3.0,0.0,0,0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.75
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,67.0,44.0,23.0,0.0,0.0,6.0,6.0,0.0,0,0,4.0,4.0,0.0,0,0,0.08955223880597014,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.6666666666666666
HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles,86.0,48.0,35.0,0.0,0.0,11.0,8.0,3.0,0,0,5.0,4.0,0.0,0,0,0.12790697674418605,0.45454545454545453,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.16666666666666666,0.5
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,24.0,14.0,7.0,0.0,0.0,3.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHN RANCIS POLYTECHNIC HIGH SCHOOL,Sun Valley,Los Angeles,80.0,43.0,36.0,0.0,0.0,6.0,4.0,0.0,0,0,4.0,3.0,0.0,0,0,0.075,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.75
